file_name,formula,space_group,value_per_atom,most_distinct_OFM
400_Ga3Na,Ga3Na,I4/mmm,-0.0132315287682867,False
401_AlGa3,AlGa3,Cmmm,0.0361313760628045,False
402_GaNa3,GaNa3,I4/mmm,0.0194563733445729,False
403_Ag3Mn,Ag3Mn,P4/mmm,0.2277962190790639,False
404_Au3P,Au3P,Cmmm,0.2363162278525057,False
405_NaPt,NaPt,P4/mmm,-0.1344248556811007,False
406_As4Br,As4Br,Im-3m,0.8804043387066216,False
425_CsYb,CsYb,P-6m2,0.2133070813367397,False
443_Cr3Nb,Cr3Nb,Immm,0.0969227978575446,False
444_Al2Pd,Al2Pd,I4/mmm,-0.5890005074909356,False
445_CrW3,CrW3,P4/mmm,0.0467321429249381,False
452_AgAl2,AgAl2,I4/mmm,0.0093127224340404,False
461_Nb2Pt2,Nb2Pt2,Pmma,-0.6457401466596764,False
462_Fe2Pb4,Fe2Pb4,Pnnm,0.4720998800685994,False
463_Ni3Sb,Ni3Sb,P4/mmm,0.0449342540232127,False
470_P24As5,P24As5,I-43m,0.2436816057725621,False
471_Mo3W3,Mo3W3,Cm,-0.0025435217114875,False
472_Ca4P2,Ca4P2,Pnnm,-0.8954120405437109,False
473_Ba4Br,Ba4Br,I4/mmm,-0.1948690422078861,False
474_KAs3,KAs3,P4/mmm,0.0965459569694791,False
479_Ca18Mo6,Ca18Mo6,Pmmn,0.6779185862039393,False
480_Ag6Al6,Ag6Al6,I4mm,-0.0217492147153629,False
481_RbW,RbW,P4/mmm,2.187420242882454,False
482_MnMo3,MnMo3,I4/mmm,0.3761156942213759,False
483_Fe2Ga,Fe2Ga,I4/mmm,-0.1236527609692442,False
484_Mn3Sn,Mn3Sn,P4/mmm,0.2206086726667848,False
485_PI,PI,R-3m,0.6799114991940689,False
488_Ga2Sr,Ga2Sr,P6/mmm,-0.531548045592905,False
