file_name,formula,space_group,value_per_atom,composition,crystal_system
4296_Ba5Rh,Ba5Rh,Cmmm,0.0985829817622795,Ba5Rh,orthorhombic
4297_Ca2Br2,Ca2Br2,Fd-3m,-0.6922187046404753,CaBr,cubic
4298_MoW5,MoW5,F-43m,0.4405019749326466,MoW5,cubic
4299_Ga2Ge6,Ga2Ge6,Pmmn,0.2415807844033328,GaGe3,orthorhombic
4300_BaPa,BaPa,Fm-3m,1.4410187630840787,BaPa,cubic
4302_Rh2As4,Rh2As4,Cmcm,-0.1859461427662717,As2Rh,orthorhombic
4303_AuRh3,AuRh3,Pmmm,0.1418375503469873,Rh3Au,orthorhombic
4305_InPd,InPd,P-6m2,-0.4227868516602266,InPd,hexagonal
4306_K3V,K3V,Pmm2,0.8623195553608953,K3V,orthorhombic
4307_Au3Nb,Au3Nb,C2/m,-0.0066006916361915,NbAu3,monoclinic
4309_SrBr,SrBr,P-6m2,-1.4833767957406825,SrBr,hexagonal
4310_Ca2Mo2,Ca2Mo2,Imma,0.4960835738562963,CaMo,orthorhombic
4312_CeSm,CeSm,Fm-3m,0.2714352747135438,CeSm,cubic
4313_Rh3Ta,Rh3Ta,Pmm2,-0.4051768741573873,TaRh3,orthorhombic
4314_Ag2Al4,Ag2Al4,Fd-3m,0.1908437062868871,Al2Ag,cubic
4315_Mo3V,Mo3V,Pm-3m,0.3792234579534757,VMo3,cubic
4316_Cu3Ta,Cu3Ta,Immm,0.2003392939363832,TaCu3,orthorhombic
4317_Ag4Nb2,Ag4Nb2,Cm,0.2673313436111317,NbAg2,monoclinic
4318_AcNp,AcNp,P-6m2,0.6797853292709606,AcNp,hexagonal
4320_TaSb3,TaSb3,Cmmm,0.4794987944840185,TaSb3,orthorhombic
4321_MoW2,MoW2,Immm,0.4640619945655662,MoW2,orthorhombic
4322_K2Sn6,K2Sn6,Pm-3n,0.0649611003597767,KSn3,cubic
4323_Au4Na2,Au4Na2,Fd-3m,-0.3609220344025997,NaAu2,cubic
4324_CaNb3,CaNb3,Pm-3m,0.7504422563504267,CaNb3,cubic
4325_Au4Ba2,Au4Ba2,Pnnm,-0.5351719339405504,BaAu2,orthorhombic
4326_VAs7,VAs7,Fm-3m,0.4766247840716735,VAs7,cubic
4327_Nb3Ni,Nb3Ni,Fm-3m,0.0207120814794556,Nb3Ni,cubic
4328_AuCu,AuCu,Pm-3m,-0.0597546096257533,CuAu,cubic
4329_Na5Pb,Na5Pb,Cmmm,-0.0854004033022069,Na5Pb,orthorhombic
4331_Rh3Ta,Rh3Ta,Imm2,-0.3658550965484686,TaRh3,orthorhombic
4332_Fe3Ge,Fe3Ge,Pm-3m,-0.1030593229876171,Fe3Ge,cubic
4333_MoSr3,MoSr3,Pmm2,0.9261985218621888,Sr3Mo,orthorhombic
4335_Fe3K,Fe3K,Fm-3m,1.8156021498517223,KFe3,cubic
4336_In16Sn4,In16Sn4,I-43m,0.0915696363380483,In4Sn,cubic
4337_Al12As17,Al12As17,I-43m,0.0631815920846978,Al12As17,cubic
4338_VP3,VP3,Pm-3m,0.3957803432569173,VP3,cubic
4339_AlCu2,AlCu2,Immm,-0.20682742671996,AlCu2,orthorhombic
4341_Mo12Rh12,Mo12Rh12,Pbcm,-0.0368725320621348,MoRh,orthorhombic
4342_InSn,InSn,Pm-3m,-0.0829382529904796,InSn,cubic
4344_FeNb,FeNb,P-6m2,0.3091984780758707,NbFe,hexagonal
4346_KV3,KV3,Imm2,1.2695272567403224,KV3,orthorhombic
4348_Cu3Br,Cu3Br,Pmm2,0.1835211112072219,Cu3Br,orthorhombic
4349_Ir3Ta3,Ir3Ta3,Cm,-0.4347810583230007,TaIr,monoclinic
4350_Au2Ni2,Au2Ni2,Cmcm,0.1379700411721982,NiAu,orthorhombic
4352_Mn2Rh4,Mn2Rh4,Cmcm,0.0299697213341948,MnRh2,orthorhombic
4353_Ba7P,Ba7P,Fm-3m,0.046327332024564,Ba7P,cubic
4354_Fe3Bi,Fe3Bi,Pm-3m,0.3277642144979555,Fe3Bi,cubic
4355_Mo6Rh18,Mo6Rh18,Pmmn,-0.182751220239588,MoRh3,orthorhombic
4356_Fe5Sb3,Fe5Sb3,Cmmm,0.3266920626745477,Fe5Sb3,orthorhombic
4357_Au2Fe2,Au2Fe2,Pmmn,0.2273726575768231,FeAu,orthorhombic
4360_Mn4W2,Mn4W2,Cmcm,0.2035748244125805,Mn2W,orthorhombic
4361_EuNb,EuNb,P-6m2,0.6517027106079185,EuNb,hexagonal
4363_Al4Sr2,Al4Sr2,Pnnm,0.2809149352770609,SrAl2,orthorhombic
4364_Al3Ni,Al3Ni,Imm2,-0.2242332681677492,Al3Ni,orthorhombic
4365_Ba2W2,Ba2W2,Imma,1.030850390101512,BaW,orthorhombic
4368_Mo17Pd12,Mo17Pd12,I-43m,0.2563564100439517,Mo17Pd12,cubic
4369_Rh4Ge2,Rh4Ge2,Cmcm,-0.2143445395982084,GeRh2,orthorhombic
4370_Rh3Sb,Rh3Sb,Immm,-0.2063562446620768,SbRh3,orthorhombic
4371_Pb6Sb18,Pb6Sb18,Pmmn,0.1200002632881756,Sb3Pb,orthorhombic
4373_Ca2As6,Ca2As6,P-1,-0.953861079987993,CaAs3,triclinic
4374_Fe3W,Fe3W,Fm-3m,0.042603553216491,Fe3W,cubic
4375_BaAs,BaAs,Fm-3m,-0.9919125426882248,BaAs,cubic
4376_Fe17Th2,Fe17Th2,R-3m,-0.076958604803849,Th2Fe17,trigonal
4377_MnPd3,MnPd3,Imm2,-0.1615328336668762,MnPd3,orthorhombic
4378_Au2As4,Au2As4,Pnnm,0.0144955617245739,As2Au,orthorhombic
4379_Pt24W5,Pt24W5,I-43m,0.0324795520625949,Pt24W5,cubic
4380_Pt2As4,Pt2As4,Pnnm,-0.4910888935308979,As2Pt,orthorhombic
4381_MoPd4,MoPd4,Im-3m,0.6319045285055118,MoPd4,cubic
4382_Ba3Ga5,Ba3Ga5,Cmmm,-0.1704261584929725,Ba3Ga5,orthorhombic
4383_V18W6,V18W6,Pmmn,0.1444451908513369,V3W,orthorhombic
4385_Al3Cs,Al3Cs,Pm-3m,0.8151148327681543,CsAl3,cubic
4386_Cu4K8,Cu4K8,Pa-3,0.3554414266929508,K2Cu,cubic
4389_CuBr3,CuBr3,Pmm2,0.0078963335368147,CuBr3,orthorhombic
4390_Ni12Sr4,Ni12Sr4,Pnma,0.0600111016735347,SrNi3,orthorhombic
4391_Ga13Nb5,Ga13Nb5,Cmmm,-0.3496700897289181,Nb5Ga13,orthorhombic
4392_Eu4I8,Eu4I8,P2_1/c,-1.877240265112853,EuI2,monoclinic
4393_V6W18,V6W18,Pmmn,0.4443461860250674,VW3,orthorhombic
4395_In3Mn,In3Mn,Cmmm,0.2284877334658102,MnIn3,orthorhombic
4397_EuTa,EuTa,Fm-3m,1.9821528238551585,EuTa,cubic
4398_KGe3,KGe3,Immm,0.2251137099133981,KGe3,orthorhombic
4401_Ag12P17,Ag12P17,I-43m,0.120738424806306,Ag12P17,cubic
4402_BaP3,BaP3,Pm-3m,1.7239127617203445,BaP3,cubic
4403_Ba4Rh2,Ba4Rh2,Cmcm,-0.0327557695338812,Ba2Rh,orthorhombic
4404_Al2Cu4,Al2Cu4,Cmcm,-0.0829668452392239,AlCu2,orthorhombic
4405_FeGe3,FeGe3,Pm-3m,0.5245141898888992,FeGe3,cubic
4406_Al3Ca,Al3Ca,Pm-3m,-0.1485498107579226,CaAl3,cubic
4407_Al17As12,Al17As12,I-43m,0.0187716242959471,Al17As12,cubic
4408_Cu17In12,Cu17In12,I-43m,0.2514156314578594,In12Cu17,cubic
4410_CeCu5,CeCu5,P6/mmm,-0.1502946904905435,CeCu5,hexagonal
4411_Rh2W2,Rh2W2,Pmma,-0.1634060966863391,RhW,orthorhombic
4413_MoW3,MoW3,Pmm2,0.4838752111837507,MoW3,orthorhombic
4415_Fe3Br,Fe3Br,Pmmm,0.8483269798622297,Fe3Br,orthorhombic
