file_name,formula,space_group,value_per_atom,structural_complexity
4015_Ta5Sb4,Ta5Sb4,I4/m,0.0942704375860425,12.52932501298081
2448_Au8In,Au8In,I4/mmm,-0.056373013667435,12.52932501298081
525_MnBr8,MnBr8,I4/mmm,0.0470076085075885,12.52932501298081
4963_Cu8In,Cu8In,I4/mmm,0.0245764029035318,12.52932501298081
4017_Cu8In,Cu8In,I4/mmm,0.0159428749984079,12.52932501298081
1524_KAs8,KAs8,I4/mmm,0.2680072295464981,12.52932501298081
974_AgMn8,AgMn8,I4/mmm,0.3058372083905188,12.52932501298081
1989_Ba8P,Ba8P,I4/mmm,-0.1316894719354589,12.52932501298081
4702_AlPb8,AlPb8,I4/mmm,0.0781345707423987,12.52932501298081
1187_AsBr8,AsBr8,I4/mmm,0.0085100131908456,12.52932501298081
554_K8As,K8As,I4/mmm,-0.0518674954251389,12.52932501298081
4536_Ba4In5,Ba4In5,I4/mmm,-0.2514774306094741,12.52932501298081
27_Cr4Sr5,Cr4Sr5,I4/mmm,0.8411270269282158,12.52932501298081
2188_Al4Ta5,Al4Ta5,I4/mmm,-0.1559804665586502,12.52932501298081
1194_MnSb8,MnSb8,I4/mmm,0.1924240153271862,12.52932501298081
3885_BaGe8,BaGe8,I4/mmm,0.0751645538209276,12.52932501298081
2358_As5Br4,As5Br4,I4/mmm,0.0661734483483273,12.52932501298081
2405_Cu8Sn,Cu8Sn,I4/mmm,0.0168007235782425,12.52932501298081
9_Mn8Sb,Mn8Sb,I4/mmm,0.1088367267697947,12.52932501298081
544_Mn4Sb5,Mn4Sb5,I4/mmm,0.6126234421869883,12.52932501298081
4760_Mn4Ta5,Mn4Ta5,I4/mmm,0.1391875726000301,12.52932501298081
989_Cr5Sr4,Cr5Sr4,I4/mmm,0.8622231105534092,12.52932501298081
498_Ge4Br5,Ge4Br5,I4/mmm,0.2780708243690522,12.52932501298081
3901_Ir8Sn,Ir8Sn,I4/mmm,0.0672942381637192,12.52932501298081
1677_Fe8Ir,Fe8Ir,I4/mmm,0.0635756256994726,12.52932501298081
2000_AlTa8,AlTa8,I4/mmm,-0.0389980449255236,12.52932501298081
2861_Nb5W4,Nb5W4,I4/mmm,-0.0496318712627438,12.52932501298081
2556_Au5Cr4,Au5Cr4,I4/mmm,0.3412211310621565,12.52932501298081
578_Cu5Ge4,Cu5Ge4,I4/mmm,0.1404388175606143,12.52932501298081
1019_Cr5Rh4,Cr5Rh4,I4/mmm,0.0433450957045522,12.52932501298081
2548_K4As5,K4As5,I4/mmm,-0.1427758941465594,12.52932501298081
2611_FeIr8,FeIr8,I4/mmm,0.0056338130923955,12.52932501298081
1015_Cr8Rh,Cr8Rh,I4/mmm,0.4020511085975929,12.52932501298081
80_Ag4Al5,Ag4Al5,I4/mmm,0.0050849121442403,12.52932501298081
