formula,space_group,count,median,median_cif_name,other_cif_names
AgTa3,Pm-3m,2,3.158010352337816,0675_AgTa3.cif,1166_AgTa3.cif
AgTa7,Fm-3m,2,0.2650292004671026,1076_AgTa7.cif,2298_AgTa7.cif
Al12K12,Pbcm,2,0.306611725672676,1883_Al12K12.cif,1297_Al12K12.cif
Al2Ba,I4/mmm,2,0.0014465937728015,2976_Al2Ba.cif,2985_Al2Ba.cif
Al2In,I4/mmm,2,0.14770123985220818,3839_Al2In.cif,4469_Al2In.cif
Al2In4,Cmcm,2,0.15421457711808684,1670_Al2In4.cif,0653_Al2In4.cif
Al2Mn,Fm-3m,2,0.24579898020372887,2757_Al2Mn.cif,3165_Al2Mn.cif
Al2Ni4,Cmcm,2,-0.45973361997761764,2877_Al2Ni4.cif,3228_Al2Ni4.cif
Al2P4,I4/mcm,2,-0.06956629713611065,1671_Al2P4.cif,2474_Al2P4.cif
Al2Pb4,Pnnm,2,0.26385840546886463,1128_Al2Pb4.cif,2024_Al2Pb4.cif
Al2Pd2,P4/nmm,2,-0.7441465224487835,0093_Al2Pd2.cif,0098_Al2Pd2.cif
Al2Pt2,Pmma,2,-0.9383295021987106,3147_Al2Pt2.cif,4422_Al2Pt2.cif
Al2Sb4,Pnnm,2,0.0341866579048062,1300_Al2Sb4.cif,1874_Al2Sb4.cif
Al3Ba,P4/mmm,2,-0.03751262032094835,3100_Al3Ba.cif,4558_Al3Ba.cif
Al3In,Pmm2,2,0.17536125819492795,0815_Al3In.cif,1741_Al3In.cif
Al3Mn,Pm-3m,2,0.1621133832056869,4168_Al3Mn.cif,4845_Al3Mn.cif
Al3Pd,P4/mmm,2,-0.3991188964549761,0663_Al3Pd.cif,1403_Al3Pd.cif
Al3Pt,Cmmm,2,-0.48230954304589835,2585_Al3Pt.cif,3490_Al3Pt.cif
Al4Ba,I4/mmm,2,-0.2379211242006079,3108_Al4Ba.cif,4776_Al4Ba.cif
Al4Ce,I4/mmm,2,-0.3258056132064002,0947_Al4Ce.cif,1694_Al4Ce.cif
Al4P2,I4_1/amd,2,0.0048209866646065,0064_Al4P2.cif,1299_Al4P2.cif
Al4Pb8,Pnma,2,0.19055227336605007,1136_Al4Pb8.cif,0642_Al4Pb8.cif
Al4Pd4,Pnma,2,-0.7839722596935017,2990_Al4Pd4.cif,4839_Al4Pd4.cif
Al4Sr2,Pnnm,2,0.2840781807290495,3182_Al4Sr2.cif,4362_Al4Sr2.cif
Al4Ta5,I4/mmm,2,-0.1555274842654886,1879_Al4Ta5.cif,2187_Al4Ta5.cif
Al6Cu18,Pmmn,2,-0.1945594037302053,3366_Al6Cu18.cif,2979_Al6Cu18.cif
AlAs,P4/mmm,2,-0.1330317940352001,3201_AlAs.cif,3684_AlAs.cif
AlBa3,P4/mmm,2,-0.0289818206341594,3092_AlBa3.cif,4162_AlBa3.cif
AlCu2,Immm,2,-0.20103651543865458,2574_AlCu2.cif,4338_AlCu2.cif
AlK4,I4/mmm,2,0.4434231626804307,3582_AlK4.cif,4342_AlK4.cif
AlK5,P4/mmm,2,0.18950453179581214,2557_AlK5.cif,4383_AlK5.cif
AlMo3,Immm,2,-0.0995148854720149,2831_AlMo3.cif,4517_AlMo3.cif
AlNb5,P4/mmm,2,0.0073600705270629,0132_AlNb5.cif,1948_AlNb5.cif
AlP,Fm-3m,2,-0.36837629983797493,4562_AlP.cif,3233_AlP.cif
AlPd,P-6m2,2,-0.7641518945964294,0590_AlPd.cif,2014_AlPd.cif
AlPd3,P4/mmm,2,-0.5999295062097629,0528_AlPd3.cif,1017_AlPd3.cif
As3Br,Fm-3m,2,0.49623851979260203,1691_As3Br.cif,1108_As3Br.cif
As4Br,I4/mmm,2,0.04707260620195225,0545_As4Br.cif,1147_As4Br.cif
As4Br2,I4/mcm,2,0.44302692935050525,0778_As4Br2.cif,1178_As4Br2.cif
As4Br4,P2_13,2,0.4148799235401608,2207_As4Br4.cif,2477_As4Br4.cif
AsBr4,Im-3m,2,0.0829586155919729,0567_AsBr4.cif,0664_AsBr4.cif
AsBr8,I4/mmm,2,0.05406282808532285,1186_AsBr8.cif,1860_AsBr8.cif
Au12Nb12,Pbcm,2,0.02383463914806735,0946_Au12Nb12.cif,2608_Au12Nb12.cif
Au16Sr4,I-43m,2,-0.4455476362676368,0803_Au16Sr4.cif,1035_Au16Sr4.cif
Au2Br,I4/mmm,2,0.27258221825256046,3152_Au2Br.cif,4408_Au2Br.cif
Au2In4,Pnnm,2,-0.14711292691546068,0131_Au2In4.cif,2494_Au2In4.cif
Au2Mn,I4/mmm,2,-0.09321982320365285,4220_Au2Mn.cif,4254_Au2Mn.cif
Au2Na4,Fd-3m,2,0.05898257223930615,2965_Au2Na4.cif,4033_Au2Na4.cif
Au2Nb4,C2/m,2,0.05239015375378915,3084_Au2Nb4.cif,4989_Au2Nb4.cif
Au2Ni2,Cmcm,2,0.1901998389808583,4349_Au2Ni2.cif,4745_Au2Ni2.cif
Au2V2,P4/nmm,2,0.026062057248398898,4430_Au2V2.cif,4825_Au2V2.cif
Au3Cu,Pm-3m,2,0.3951398972616367,3984_Au3Cu.cif,4046_Au3Cu.cif
Au3Ga,P4/mmm,2,-0.03988725020763635,0765_Au3Ga.cif,0304_Au3Ga.cif
Au3Nb,Pmmm,2,-0.03759584436641635,0376_Au3Nb.cif,0818_Au3Nb.cif
Au3P,Pmm2,2,0.25870482743802703,1655_Au3P.cif,2172_Au3P.cif
Au5Sb,Amm2,2,0.05608208661971875,4632_Au5Sb.cif,2906_Au5Sb.cif
