cif_name,formula,space_group,value per atom,value,id
3092_AlBa3.cif,AlBa3,P4/mmm,-0.0289368508473417,-0.115747403389367,PN_PGPEC7C6M5LOMRO7VS2EYOV6XMRESPDZ
3093_In2Ni.cif,In2Ni,I4/mmm,0.018092876315561,0.0542786289466832,PN_CCEMVE32OOUVW6SED7HL6UMWNEJMB7NW
3094_PtSr.cif,PtSr,Fm-3m,-0.6136797126464031,-4.909437701171225,PN_I2JM475BZ2GTZCNQQHXLOZBO6FUH4YWF
3095_Rh3As.cif,Rh3As,Cmmm,0.1899546984508608,0.7598187938034435,PN_Z35JOGH5OH4FWYALW6IQUEX3FAW3QEOQ
3096_Ag4Ba6.cif,Ag4Ba6,Fdd2,-0.0507589651294985,-0.5075896512949853,PN_NGWL4E5AEJUY7LT5ITMLXT7SDFWKJ7SP
3097_AlSn3.cif,AlSn3,C2/m,0.1044766819611391,0.4179067278445565,PN_A7XYDXKH64FHVMNVD3MSTJ64RC32NMAX
3098_Al3Ir.cif,Al3Ir,Imm2,-0.4499672468645164,-1.7998689874580656,PN_45PYLNBOT5ZLIKXL4WTTO7664OFW7DYI
3099_Na2Sb2.cif,Na2Sb2,P4/nmm,-0.1595024621703382,-0.638009848681353,PN_IGAUY3J2A2YGWGUQW33RQJSUJKL4BNQ5
3100_Al3Ba.cif,Al3Ba,P4/mmm,-0.0367778075288356,-0.1471112301153425,PN_2QZ3YCLCABJ5QCZB66M4XR67MXPC7SGE
3101_CaBr.cif,CaBr,F-43m,-1.2331421850996755,-2.466284370199351,PN_QJEVSZYSEOBZ7VLA6E5SJ5SA4UTRKFZK
3102_Al2Sn4.cif,Al2Sn4,C2/m,0.0887452480367532,0.5324714882205193,PN_FXSKYLR72PYRXMCUZFB6AQU64VOA57S7
3103_Mn3Rh.cif,Mn3Rh,P4/mmm,-0.0283859479505466,-0.1135437918021864,PN_HHE73BZ6KQAG7AHD3GO5OSBK63P4DOYY
3104_Sb2As4.cif,Sb2As4,Pnnm,0.1155331115355782,0.6931986692134693,PN_GF72IIQ6QV6LDWXLVYQDUQN4P7EADTQS
3106_GaIn.cif,GaIn,Fm-3m,0.0934294956136678,0.1868589912273357,PN_RI2QR5YFQE2P42XWDCF6WESEOLQ5AYTI
3107_In3Mo.cif,In3Mo,Pmm2,0.3379385834494242,1.3517543337976967,PN_7TVGIUSB24LQ4R42ZBJJ5YHLQ6XIOECN
3108_Al4Ba.cif,Al4Ba,I4/mmm,-0.2379211242006079,-1.1896056210030397,PN_AN36WDZNYV5OWTDZJBIFOSTGLJU75KRF
3109_Ba4Cu.cif,Ba4Cu,Im-3m,0.1763109246350126,0.8815546231750631,PN_EWLW4T76BNJARLOLCWO4FE6TUHBQMPII
3110_Al4Ir2.cif,Al4Ir2,Cmcm,-0.45446727995319,-2.72680367971914,PN_BWZGU3OLTAM27E5WQSPWCHY3RHTWAMIX
3111_Na8Pd4.cif,Na8Pd4,Pnma,-0.0135115662789999,-0.1621387953479995,PN_FES7QMZ75FMIHX6CACGZREQ7VSLFIMNU
3112_Ag4W.cif,Ag4W,I4/mmm,1.0330159394192733,5.165079697096367,PN_M6WJBWB5WG5ETFJTTTHZC3VRLDVIHEF3
3113_Ag2Ge2.cif,Ag2Ge2,Cmme,0.1973839765043421,0.7895359060173686,PN_B7G6ODU2GRMNPWFSSLNXGOHMV3C2ZJ26
3114_RhW3.cif,RhW3,Imm2,0.1259991021727291,0.5039964086909166,PN_GMICEADGKCWSWJ7CVNNQFCFDS6LP4TES
3115_Ba5Ca.cif,Ba5Ca,P4/mmm,0.0248819269326171,0.1492915615957031,PN_SNHRLQ52ASRTCXGS3XEONVRB6HAUKPT6
3116_Ba4Ir12.cif,Ba4Ir12,Pnma,0.140989215501504,2.255827448024064,PN_DZR7CKS2AKW6QJDDIJW7KSLJ56PCCX46
3117_Mo4Ge8.cif,Mo4Ge8,Pnma,-0.387930767527448,-4.655169210329376,PN_XZWK64MDLU7XOHPVCYN6AX63LRLJ75KG
3118_Al2Ba4.cif,Al2Ba4,I4_1/amd,-0.0110277973225484,-0.0661667839352908,PN_IQRYKJ7UZQEIUXIQXV2AJR3CBFXMTRWT
3119_Au3Pb.cif,Au3Pb,Imm2,0.0421634035992708,0.1686536143970833,PN_XWA6DBC76ISWZ5RW6F5ETNSFOTES7KIJ
3120_YbBr.cif,YbBr,Fm-3m,-1.4271186061040138,-2.8542372122080275,PN_V4NAVJZOYE3TACRQD5T6TKOK4GVCB36O
3121_MnPt3.cif,MnPt3,P4/mmm,-0.0789690976316901,-0.3158763905267605,PN_ED6S6M5U2D4ZLPNODUHKZUOLH4D357SG
3122_Au3K.cif,Au3K,Pmm2,-0.0583983529578526,-0.2335934118314107,PN_RDQY6ODJAHTAQTQFFZASIGRJJCDW7KYM
3123_Pd3Ta.cif,Pd3Ta,I4/mmm,-0.4789615722321567,-1.915846288928627,PN_EEQK55QNIYENN3EK4JZMALY2NDTFAI7P
3124_Al2Sb.cif,Al2Sb,P4/mmm,0.171565483411961,0.5146964502358831,PN_JRLONAS4JO3XWBYXNIWOSKVI5FLJIXMY
3125_InPd.cif,InPd,Pm-3m,-0.5193825637928868,-1.0387651275857737,PN_PE6UV7CPKYUZSIQU44LNJNVHANDZLYDN
3126_PtW3.cif,PtW3,Fm-3m,0.267051153241173,1.068204612964692,PN_CR72UI3YGKJ66C73Y3GWBBRQJCA4H2AO
3127_NiGe2.cif,NiGe2,P4/mmm,0.0688872912331408,0.2066618736994225,PN_TYYMPG4A4HOUCAWJNPPJM453NV3CDGZV
